,job_id,has_phd,title
189,jl_c4257a9476edaa7e,1,Associate Scientist/Scientist - Immunofluorescence
190,jl_eac57bf0b3578837,1,Lead Software Engineer - Big Data
191,jl_3fd4f57fc4e47b2d,1,"Staff Engineer, R&D Engineering Job"
192,jl_30e157fb71ba8637,1,Scientist II (NGS)
193,jl_796c8c5e76ef2c2d,1,Data Scientist - Geospatial Analytics
194,jl_ac15bee3dc9b0c1f,1,"Scientific Fellow, Analytical Sciences"
195,jl_97a90ab695f12337,1,Senior Scientist- Computational Biologist
196,jl_92307eb3ac5acb6d,1,"Director, Deep Learning Data Architecture"
197,jl_2b777bc1677a5385,1,Scientist Assay Development
198,jl_8d8bcc4b94231180,1,Immunogenicity Senior Principal Scientist
199,jl_21da5ef47b797ba8,1,"Scientist II, Early Discovery"
200,jl_b7cb131bae37c189,1,Summer Research Program Intern--Ph.D. Candidates
201,jl_12af4286e57c1164,1,Senior Chemical Engineer- Microparticles/Microspheres
202,jl_2fd0fc012f4a3ac9,1,"Staff Engineer, Protein Purification Process Development"
203,jl_7fd98a87cf190b3a,1,Imaging Data Curator
204,jl_888c13a083803b8a,1,"Director/Senior Director, DMPK"
205,jl_23f50672feadce16,1,Senior Data Scientist
206,jl_92444c8e49c260c6,1,"Senior Principal Scientist- Computational Biologist,1040790"
207,jl_2c1a3d2dc17635d7,1,Biostatistician
208,jl_04a294feed2acb5a,1,"Data Scientist, Inflammation and Immunology Research"
209,jl_c3e4287a6aa69722,1,Cancer Scientist
210,jl_78d0cf9cf307f9a5,1,"Research Scientist, MIT TESS Pipeline Scientist"
211,jl_2fd0fc012f4a3ac9,1,"Staff Engineer, Protein Purification Process Development"
212,jl_db4d72b5cf4045ce,1,Senior Data Engineer Associate
213,jl_eac57bf0b3578837,1,Lead Software Engineer - Big Data
214,jl_87fb5100b56774da,1,"Scientist/Engineer, Purification Process Development"
215,jl_fb9dce5942262210,1,Natural Language Scientist
216,jl_c6945eb60a7f3e7b,1,Assistant/Associate/Teaching Professor
217,jl_bddee21cf5be8648,1,Data Scientist / Software Developer â€“ Life Sciences
218,jl_895b5fbd6bdbaece,1,"Sr Mgr, Strategy & Analytics"
219,jl_1f99d4f5d8ff9324,1,Research Scientist
220,jl_1b0708ad7e04ea1d,1,Principal Data Scientist (Boston)
221,jl_8d8bcc4b94231180,1,Immunogenicity Senior Principal Scientist
222,jl_ada8a7b4477d3923,1,Senior Computer/Data Scientist
223,jl_888c13a083803b8a,1,"Director/Senior Director, DMPK"
224,jl_ac15bee3dc9b0c1f,1,"Scientific Fellow, Analytical Sciences"
225,jl_e2800bc6171ddc79,1,"Senior Principal Scientist, Genomics"
226,jl_17f1aa06a0c4d34b,1,Staff Scientist - Collections
227,jl_26d8efe221267ebe,1,Annotation Manager - Data Science
228,jl_624cc45ebde7785a,1,Staff Engineer - Computer Vision
229,jl_5bb9b8fd7a2f6111,1,"Associate Director / Sr Clinical Scientist, Clinical Science..."
230,jl_0a0fb12e8a4f7b12,1,"Postdoctoral Associate, Institute for Data, Systems, and Soc..."
231,jl_57fd00c6d79a6c71,1,Senior Embedded Engineer
232,jl_e4b8d9a769dc46f8,1,"ASSOCIATE DIRECTOR, CLINICAL DEVELOPMENT (CLINICAL SCIENTIST..."
233,jl_26d8efe221267ebe,1,Annotation Manager - Data Science
234,jl_c6d00591dbb09f02,1,Undersea Systems Engineer
