account_key,join_date,join_year,join_month,join_day,days_active
47,2015-07-16,2015,7,16,38
29,2015-07-16,2015,7,16,38
885,2015-07-16,2015,7,16,38
164,2015-07-16,2015,7,16,38
1080,2015-07-17,2015,7,17,37
402,2015-03-10,2015,3,10,166
87,2015-01-12,2015,1,12,223
782,2015-07-17,2015,7,17,37
979,2015-07-17,2015,7,17,37
1302,2015-07-18,2015,7,18,36
687,2015-07-20,2015,7,20,34
924,2015-08-11,2015,8,11,12
946,2015-08-11,2015,8,11,12
805,2015-08-11,2015,8,11,12
552,2015-08-14,2015,8,14,9
122,2015-07-17,2015,7,17,37
39,2015-07-17,2015,7,17,37
393,2015-07-18,2015,7,18,36
1147,2015-07-19,2015,7,19,35
325,2015-07-19,2015,7,19,35
883,2015-07-19,2015,7,19,35
1224,2015-07-20,2015,7,20,34
332,2015-08-11,2015,8,11,12
443,2014-11-10,2014,11,10,286
309,2014-11-10,2014,11,10,286
230,2014-11-10,2014,11,10,286
301,2014-11-10,2014,11,10,286
506,2014-11-10,2014,11,10,286
755,2014-11-10,2014,11,10,286
1050,2015-08-11,2015,8,11,12
834,2015-08-13,2015,8,13,10
742,2015-08-14,2015,8,14,9
535,2015-02-08,2015,2,8,196
423,2015-04-08,2015,4,8,137
190,2015-04-08,2015,4,8,137
653,2015-07-08,2015,7,8,46
1177,2015-03-11,2015,3,11,165
233,2015-03-06,2015,3,6,170
351,2015-03-08,2015,3,8,168
672,2014-11-14,2014,11,14,282
282,2014-11-14,2014,11,14,282
155,2014-11-14,2014,11,14,282
257,2014-11-15,2014,11,15,281
311,2014-11-16,2014,11,16,280
188,2014-11-16,2014,11,16,280
457,2015-03-10,2015,3,10,166
333,2015-04-01,2015,4,1,144
594,2014-12-05,2014,12,5,261
137,2014-12-06,2014,12,6,260
241,2014-12-08,2014,12,8,258
46,2014-12-08,2014,12,8,258
363,2015-04-02,2015,4,2,143
269,2015-04-02,2015,4,2,143
600,2015-04-07,2015,4,7,138
920,2015-04-12,2015,4,12,133
370,2015-04-24,2015,4,24,121
84,2015-05-06,2015,5,6,109
255,2015-05-06,2015,5,6,109
472,2015-01-07,2015,1,7,228
32,2015-01-08,2015,1,8,227
115,2015-01-11,2015,1,11,224
320,2015-05-07,2015,5,7,108
635,2015-05-07,2015,5,7,108
182,2015-05-08,2015,5,8,107
298,2015-05-08,2015,5,8,107
385,2015-05-08,2015,5,8,107
175,2015-05-09,2015,5,9,106
120,2015-05-11,2015,5,11,104
314,2015-05-11,2015,5,11,104
331,2015-05-11,2015,5,11,104
303,2015-05-11,2015,5,11,104
533,2015-05-11,2015,5,11,104
17,2015-05-11,2015,5,11,104
129,2015-05-11,2015,5,11,104
189,2015-05-12,2015,5,12,103
4,2015-05-12,2015,5,12,103
454,2015-05-12,2015,5,12,103
715,2015-05-12,2015,5,12,103
16,2015-05-13,2015,5,13,102
297,2015-01-12,2015,1,12,223
373,2015-01-12,2015,1,12,223
510,2015-02-05,2015,2,5,199
36,2015-05-13,2015,5,13,102
616,2015-05-28,2015,5,28,87
55,2015-05-29,2015,5,29,86
538,2015-06-02,2015,6,2,82
503,2015-06-03,2015,6,3,81
196,2015-06-03,2015,6,3,81
1217,2015-08-13,2015,8,13,10
565,2015-06-08,2015,6,8,76
518,2015-06-08,2015,6,8,76
384,2015-06-08,2015,6,8,76
888,2015-06-09,2015,6,9,75
1227,2015-06-09,2015,6,9,75
176,2015-07-08,2015,7,8,46
1231,2015-07-09,2015,7,9,45
391,2015-02-10,2015,2,10,194
409,2015-03-06,2015,3,6,170
872,2015-03-06,2015,3,6,170
172,2015-03-10,2015,3,10,166
1276,2015-03-10,2015,3,10,166
542,2015-07-10,2015,7,10,44
526,2015-07-16,2015,7,16,38
355,2015-07-17,2015,7,17,37
901,2015-07-17,2015,7,17,37
764,2015-07-17,2015,7,17,37
210,2015-03-11,2015,3,11,165
1048,2015-03-11,2015,3,11,165
543,2015-04-01,2015,4,1,144
1149,2015-04-01,2015,4,1,144
781,2015-04-02,2015,4,2,143
425,2015-04-05,2015,4,5,140
118,2015-04-06,2015,4,6,139
310,2015-04-06,2015,4,6,139
1070,2015-07-19,2015,7,19,35
798,2015-07-19,2015,7,19,35
548,2015-07-20,2015,7,20,34
1143,2015-08-11,2015,8,11,12
931,2015-08-11,2015,8,11,12
1056,2015-08-12,2015,8,12,11
