account_key,projects_completed,completed_one_or_more,first_completion,join_date,days_to_completion,minutes_to_completion,visits_to_completion
193.0,5.0,1.0,2015-04-20,2014-12-08,133.0,4610.75352417,48.0
194.0,4.0,1.0,2015-01-20,2014-11-10,71.0,2935.67809817,47.0
195.0,4.0,1.0,2014-12-18,2014-11-10,38.0,4643.007354,26.0
196.0,2.0,1.0,2015-07-13,2015-06-03,40.0,2518.61826267,35.0
197.0,2.0,1.0,2015-02-21,2015-01-07,45.0,2066.558411,22.0
198.0,4.0,1.0,2015-01-07,2014-11-10,58.0,8763.7136895,52.0
199.0,4.0,1.0,2015-06-20,2015-05-30,21.0,2576.0455605,15.0
200.0,1.0,1.0,2015-07-07,2015-05-12,56.0,1857.63976783,38.0
202.0,3.0,1.0,2015-03-30,2014-12-03,117.0,4474.54868983,38.0
203.0,1.0,1.0,2015-06-29,2014-11-15,226.0,2153.4855895,28.0
204.0,4.0,1.0,2014-12-15,2014-11-10,35.0,3352.41258533,29.0
205.0,2.0,1.0,2015-06-19,2015-04-01,79.0,3248.30462183,33.0
206.0,3.0,1.0,2015-01-21,2014-11-10,72.0,2163.7010875,28.0
207.0,4.0,1.0,2015-01-16,2015-01-07,9.0,164.205581,7.0
208.0,2.0,1.0,2015-05-08,2015-03-08,61.0,2635.399756,28.0
209.0,3.0,1.0,2015-02-09,2014-12-05,66.0,3254.37552067,24.0
210.0,2.0,1.0,2015-05-04,2015-03-11,54.0,3021.870063,23.0
211.0,3.0,1.0,2015-06-11,2015-05-06,36.0,1914.30448367,17.0
213.0,3.0,1.0,2015-07-15,2015-07-14,1.0,413.400756667,2.0
214.0,3.0,1.0,2015-03-06,2015-01-12,53.0,3927.11907733,32.0
215.0,1.0,1.0,2015-02-03,2014-11-14,81.0,2182.27876267,22.0
216.0,3.0,1.0,2015-07-11,2015-06-02,39.0,1830.914641,23.0
217.0,3.0,1.0,2015-01-23,2014-11-14,70.0,1842.11731583,33.0
218.0,6.0,1.0,2015-07-10,2015-07-08,2.0,964.369703166,3.0
219.0,1.0,1.0,2015-08-13,2015-06-06,68.0,1115.1752545,21.0
220.0,2.0,1.0,2015-06-01,2015-04-07,55.0,2367.13690883,32.0
222.0,5.0,1.0,2015-03-07,2014-11-17,110.0,4471.8112095,39.0
223.0,2.0,1.0,2015-01-15,2014-11-10,66.0,1432.08469233,19.0
224.0,4.0,1.0,2015-02-11,2014-11-10,93.0,3653.4512435,37.0
225.0,3.0,1.0,2015-01-02,2014-11-10,53.0,2401.094717,47.0
226.0,1.0,1.0,2015-07-31,2015-06-08,53.0,2541.0571155,27.0
227.0,2.0,1.0,2014-12-05,2014-11-12,23.0,610.292089833,7.0
228.0,2.0,1.0,2015-07-03,2015-05-07,57.0,1623.31690817,21.0
229.0,5.0,1.0,2015-02-12,2015-01-07,36.0,2226.23224967,15.0
230.0,3.0,1.0,2014-12-30,2014-11-10,50.0,1378.02802667,21.0
231.0,2.0,1.0,2015-05-31,2014-11-14,198.0,2892.4146695,39.0
232.0,3.0,1.0,2015-02-21,2015-01-08,44.0,4584.2036135,34.0
233.0,1.0,1.0,2015-05-04,2015-03-06,59.0,2065.9498165,17.0
234.0,3.0,1.0,2014-12-31,2014-11-11,50.0,3771.51181017,29.0
235.0,2.0,1.0,2015-07-05,2015-05-11,55.0,1734.1139625,11.0
236.0,1.0,1.0,2015-07-06,2015-05-10,57.0,1633.2114585,23.0
237.0,1.0,1.0,2015-06-01,2015-05-10,22.0,2682.24578083,19.0
238.0,3.0,1.0,2015-07-17,2015-07-13,4.0,330.182623834,5.0
239.0,4.0,1.0,2015-05-05,2015-03-04,62.0,1949.17616633,23.0
241.0,2.0,1.0,2015-08-18,2014-12-08,253.0,2605.061264,52.0
242.0,3.0,1.0,2015-06-20,2015-05-11,40.0,1467.18272983,21.0
243.0,1.0,1.0,2015-01-22,2014-11-16,67.0,5342.36379283,25.0
244.0,4.0,1.0,2015-02-10,2014-12-04,68.0,1187.97371333,24.0
245.0,4.0,1.0,2015-01-14,2014-11-14,61.0,2776.21073367,17.0
246.0,1.0,1.0,2015-05-21,2015-04-01,50.0,2019.57718,29.0
248.0,1.0,1.0,2015-07-29,2015-06-09,50.0,648.288366833,8.0
249.0,1.0,1.0,2015-07-06,2015-05-12,55.0,2255.03712333,18.0
250.0,3.0,1.0,2015-05-03,2015-01-12,111.0,2858.46313667,35.0
251.0,1.0,1.0,2015-05-21,2015-02-06,104.0,5695.5552715,59.0
252.0,3.0,1.0,2015-07-07,2015-05-12,56.0,1404.2561235,19.0
253.0,3.0,1.0,2015-02-06,2014-11-16,82.0,3056.987708,22.0
254.0,3.0,1.0,2015-02-23,2014-11-14,101.0,4872.90925567,48.0
255.0,2.0,1.0,2015-07-02,2015-05-06,57.0,3251.58607667,35.0
256.0,1.0,1.0,2015-01-20,2014-12-03,48.0,5039.635195,30.0
257.0,5.0,1.0,2015-03-04,2014-11-15,109.0,2784.643916,45.0
258.0,5.0,1.0,2015-01-22,2014-11-10,73.0,2567.13844183,40.0
259.0,1.0,1.0,2015-05-31,2015-03-05,87.0,3835.66086633,40.0
260.0,1.0,1.0,2015-07-08,2015-05-11,58.0,1677.76270683,31.0
261.0,1.0,1.0,2015-01-12,2014-11-16,57.0,1799.66585567,19.0
262.0,1.0,1.0,2015-05-04,2015-04-24,10.0,68.7601928333,3.0
263.0,4.0,1.0,2015-03-30,2015-01-10,79.0,3718.34667433,32.0
264.0,1.0,1.0,2015-02-24,2014-12-03,83.0,5203.812661,54.0
266.0,4.0,1.0,2015-06-12,2015-06-06,6.0,1420.14791917,6.0
268.0,1.0,1.0,2015-07-01,2014-11-10,233.0,1194.0708835,14.0
269.0,2.0,1.0,2015-06-24,2015-04-02,83.0,2483.40324933,17.0
270.0,4.0,1.0,2015-02-10,2015-01-09,32.0,3574.212121,22.0
271.0,3.0,1.0,2015-07-11,2015-07-08,3.0,816.704758,4.0
272.0,5.0,1.0,2015-02-05,2015-01-08,28.0,2204.78659483,25.0
273.0,2.0,1.0,2015-03-20,2014-11-14,126.0,3583.45597833,54.0
274.0,2.0,1.0,2015-07-08,2015-05-06,63.0,5982.2837665,44.0
275.0,4.0,1.0,2015-03-18,2014-11-12,126.0,4601.777206,55.0
276.0,2.0,1.0,2015-07-10,2015-05-10,61.0,820.839313333,15.0
277.0,4.0,1.0,2015-01-28,2014-11-15,74.0,8247.72515234,57.0
278.0,3.0,1.0,2015-03-03,2014-12-04,89.0,2569.4041335,25.0
279.0,1.0,1.0,2015-06-16,2015-02-05,131.0,2605.60510283,28.0
280.0,3.0,1.0,2015-02-10,2014-11-15,87.0,3104.598477,47.0
281.0,4.0,1.0,2015-03-31,2014-11-14,137.0,2773.99575367,28.0
282.0,4.0,1.0,2015-03-09,2014-11-14,115.0,4273.40061917,38.0
283.0,4.0,1.0,2015-01-20,2014-11-13,68.0,2016.16192683,25.0
284.0,2.0,1.0,2015-08-01,2015-02-09,173.0,1385.1393415,18.0
285.0,1.0,1.0,2015-06-16,2015-01-07,160.0,3534.884856,34.0
286.0,3.0,1.0,2015-07-10,2015-07-08,2.0,52.2299361667,1.0
287.0,3.0,1.0,2015-06-17,2015-05-11,37.0,1463.69223267,22.0
288.0,4.0,1.0,2015-02-16,2014-12-03,75.0,3243.395475,33.0
289.0,1.0,1.0,2015-04-22,2015-04-07,15.0,1711.82068417,11.0
290.0,1.0,1.0,2015-07-08,2015-05-30,39.0,2532.83972217,18.0
291.0,2.0,1.0,2015-05-25,2015-04-02,53.0,1506.412106,17.0
292.0,4.0,1.0,2015-03-02,2014-12-05,87.0,3924.78733233,46.0
293.0,1.0,1.0,2015-06-28,2015-05-10,49.0,1475.70171767,24.0
294.0,1.0,1.0,2015-07-23,2015-06-04,49.0,1595.56678733,28.0
295.0,1.0,1.0,2015-08-22,2014-12-07,258.0,2539.95916733,32.0
296.0,1.0,1.0,2015-08-17,2015-06-08,70.0,1144.170108,23.0
297.0,3.0,1.0,2015-04-29,2015-01-12,107.0,2069.39380333,21.0
298.0,1.0,1.0,2015-07-04,2015-05-08,57.0,1647.40464933,28.0
299.0,1.0,1.0,2015-05-21,2015-04-24,27.0,342.826490333,5.0
300.0,2.0,1.0,2015-03-27,2014-12-03,114.0,3633.80623717,48.0
301.0,4.0,1.0,2015-01-13,2014-11-10,64.0,4277.68173533,31.0
303.0,2.0,1.0,2015-07-04,2015-05-11,54.0,6675.69675383,36.0
304.0,2.0,1.0,2015-06-12,2015-05-10,33.0,1550.13404517,13.0
