account_key,join_date,join_year,join_month,join_day
593,2015-04-02,2015,4,2
437,2015-04-02,2015,4,2
468,2015-04-02,2015,4,2
22,2015-04-03,2015,4,3
449,2015-04-03,2015,4,3
482,2015-04-03,2015,4,3
349,2015-04-03,2015,4,3
104,2015-04-10,2015,4,10
286,2015-07-08,2015,7,8
812,2015-07-09,2015,7,9
462,2015-07-09,2015,7,9
1001,2015-07-09,2015,7,9
213,2015-07-14,2015,7,14
359,2015-07-15,2015,7,15
21,2015-07-17,2015,7,17
633,2015-07-17,2015,7,17
1014,2015-07-18,2015,7,18
40,2015-07-15,2015,7,15
1216,2015-07-16,2015,7,16
1131,2015-07-16,2015,7,16
1150,2015-07-16,2015,7,16
403,2015-07-16,2015,7,16
773,2015-07-17,2015,7,17
305,2015-03-10,2015,3,10
485,2015-03-10,2015,3,10
464,2015-04-01,2015,4,1
340,2015-04-01,2015,4,1
75,2015-04-01,2015,4,1
1072,2015-04-02,2015,4,2
588,2015-04-02,2015,4,2
291,2015-04-02,2015,4,2
536,2015-04-24,2015,4,24
107,2015-04-24,2015,4,24
353,2015-04-24,2015,4,24
146,2015-04-24,2015,4,24
466,2015-05-06,2015,5,6
484,2015-05-07,2015,5,7
192,2015-05-09,2015,5,9
398,2015-05-11,2015,5,11
20,2015-05-11,2015,5,11
200,2015-05-12,2015,5,12
665,2015-05-12,2015,5,12
1263,2015-08-16,2015,8,16
1136,2015-08-18,2015,8,18
1144,2015-08-18,2015,8,18
142,2015-08-19,2015,8,19
1228,2015-08-19,2015,8,19
967,2015-08-21,2015,8,21
754,2015-08-21,2015,8,21
851,2015-08-22,2015,8,22
990,2015-08-23,2015,8,23
950,2015-07-19,2015,7,19
1087,2015-07-20,2015,7,20
940,2015-08-13,2015,8,13
986,2015-08-15,2015,8,15
784,2015-08-17,2015,8,17
893,2015-08-18,2015,8,18
840,2015-08-21,2015,8,21
975,2015-08-23,2015,8,23
632,2015-04-07,2015,4,7
117,2015-04-08,2015,4,8
94,2015-04-24,2015,4,24
299,2015-04-24,2015,4,24
574,2015-04-24,2015,4,24
212,2015-04-24,2015,4,24
401,2015-04-24,2015,4,24
387,2015-04-24,2015,4,24
1113,2015-05-06,2015,5,6
382,2015-05-06,2015,5,6
8,2015-05-06,2015,5,6
1,2015-05-06,2015,5,6
184,2015-05-12,2015,5,12
61,2015-05-12,2015,5,12
596,2015-05-12,2015,5,12
7,2015-05-12,2015,5,12
41,2015-05-13,2015,5,13
513,2015-05-28,2015,5,28
545,2015-05-28,2015,5,28
572,2015-05-28,2015,5,28
199,2015-05-30,2015,5,30
14,2015-06-03,2015,6,3
646,2015-06-04,2015,6,4
6,2015-06-05,2015,6,5
619,2015-06-06,2015,6,6
456,2015-06-07,2015,6,7
80,2015-06-07,2015,6,7
116,2015-05-06,2015,5,6
89,2015-05-07,2015,5,7
471,2015-05-07,2015,5,7
1002,2015-05-07,2015,5,7
154,2015-05-09,2015,5,9
58,2015-05-09,2015,5,9
406,2015-05-10,2015,5,10
1282,2015-05-10,2015,5,10
162,2015-05-11,2015,5,11
242,2015-05-11,2015,5,11
235,2015-05-11,2015,5,11
928,2015-05-11,2015,5,11
1151,2015-05-11,2015,5,11
249,2015-05-12,2015,5,12
621,2015-05-12,2015,5,12
656,2015-05-12,2015,5,12
497,2015-05-12,2015,5,12
73,2015-05-28,2015,5,28
290,2015-05-30,2015,5,30
1290,2015-06-02,2015,6,2
294,2015-06-04,2015,6,4
573,2015-06-07,2015,6,7
1081,2015-06-08,2015,6,8
1036,2015-06-09,2015,6,9
271,2015-07-08,2015,7,8
317,2015-07-09,2015,7,9
1257,2015-07-09,2015,7,9
326,2015-07-09,2015,7,9
748,2015-06-08,2015,6,8
296,2015-06-08,2015,6,8
628,2015-06-09,2015,6,9
1262,2015-06-09,2015,6,9
531,2015-07-08,2015,7,8
1209,2015-07-09,2015,7,9
498,2015-07-09,2015,7,9
430,2015-07-10,2015,7,10
694,2015-07-10,2015,7,10
238,2015-07-13,2015,7,13
48,2015-07-16,2015,7,16
47,2015-07-16,2015,7,16
29,2015-07-16,2015,7,16
885,2015-07-16,2015,7,16
164,2015-07-16,2015,7,16
1080,2015-07-17,2015,7,17
402,2015-03-10,2015,3,10
87,2015-01-12,2015,1,12
782,2015-07-17,2015,7,17
979,2015-07-17,2015,7,17
1302,2015-07-18,2015,7,18
687,2015-07-20,2015,7,20
924,2015-08-11,2015,8,11
946,2015-08-11,2015,8,11
805,2015-08-11,2015,8,11
552,2015-08-14,2015,8,14
1028,2015-08-21,2015,8,21
122,2015-07-17,2015,7,17
39,2015-07-17,2015,7,17
393,2015-07-18,2015,7,18
1147,2015-07-19,2015,7,19
325,2015-07-19,2015,7,19
883,2015-07-19,2015,7,19
1224,2015-07-20,2015,7,20
332,2015-08-11,2015,8,11
443,2014-11-10,2014,11,10
309,2014-11-10,2014,11,10
230,2014-11-10,2014,11,10
301,2014-11-10,2014,11,10
506,2014-11-10,2014,11,10
755,2014-11-10,2014,11,10
1050,2015-08-11,2015,8,11
834,2015-08-13,2015,8,13
742,2015-08-14,2015,8,14
535,2015-02-08,2015,2,8
423,2015-04-08,2015,4,8
190,2015-04-08,2015,4,8
653,2015-07-08,2015,7,8
1177,2015-03-11,2015,3,11
233,2015-03-06,2015,3,6
351,2015-03-08,2015,3,8
854,2015-08-23,2015,8,23
880,2015-08-23,2015,8,23
672,2014-11-14,2014,11,14
282,2014-11-14,2014,11,14
155,2014-11-14,2014,11,14
257,2014-11-15,2014,11,15
311,2014-11-16,2014,11,16
188,2014-11-16,2014,11,16
457,2015-03-10,2015,3,10
333,2015-04-01,2015,4,1
594,2014-12-05,2014,12,5
137,2014-12-06,2014,12,6
241,2014-12-08,2014,12,8
46,2014-12-08,2014,12,8
363,2015-04-02,2015,4,2
269,2015-04-02,2015,4,2
600,2015-04-07,2015,4,7
920,2015-04-12,2015,4,12
370,2015-04-24,2015,4,24
84,2015-05-06,2015,5,6
255,2015-05-06,2015,5,6
472,2015-01-07,2015,1,7
32,2015-01-08,2015,1,8
115,2015-01-11,2015,1,11
1022,2015-08-20,2015,8,20
320,2015-05-07,2015,5,7
635,2015-05-07,2015,5,7
182,2015-05-08,2015,5,8
298,2015-05-08,2015,5,8
385,2015-05-08,2015,5,8
175,2015-05-09,2015,5,9
120,2015-05-11,2015,5,11
314,2015-05-11,2015,5,11
331,2015-05-11,2015,5,11
303,2015-05-11,2015,5,11
533,2015-05-11,2015,5,11
17,2015-05-11,2015,5,11
129,2015-05-11,2015,5,11
189,2015-05-12,2015,5,12
4,2015-05-12,2015,5,12
454,2015-05-12,2015,5,12
715,2015-05-12,2015,5,12
16,2015-05-13,2015,5,13
297,2015-01-12,2015,1,12
373,2015-01-12,2015,1,12
510,2015-02-05,2015,2,5
36,2015-05-13,2015,5,13
616,2015-05-28,2015,5,28
55,2015-05-29,2015,5,29
538,2015-06-02,2015,6,2
503,2015-06-03,2015,6,3
196,2015-06-03,2015,6,3
1217,2015-08-13,2015,8,13
565,2015-06-08,2015,6,8
518,2015-06-08,2015,6,8
384,2015-06-08,2015,6,8
888,2015-06-09,2015,6,9
1227,2015-06-09,2015,6,9
176,2015-07-08,2015,7,8
1231,2015-07-09,2015,7,9
391,2015-02-10,2015,2,10
409,2015-03-06,2015,3,6
872,2015-03-06,2015,3,6
172,2015-03-10,2015,3,10
1276,2015-03-10,2015,3,10
542,2015-07-10,2015,7,10
526,2015-07-16,2015,7,16
355,2015-07-17,2015,7,17
901,2015-07-17,2015,7,17
764,2015-07-17,2015,7,17
210,2015-03-11,2015,3,11
1048,2015-03-11,2015,3,11
543,2015-04-01,2015,4,1
1149,2015-04-01,2015,4,1
781,2015-04-02,2015,4,2
425,2015-04-05,2015,4,5
118,2015-04-06,2015,4,6
310,2015-04-06,2015,4,6
1070,2015-07-19,2015,7,19
798,2015-07-19,2015,7,19
548,2015-07-20,2015,7,20
1143,2015-08-11,2015,8,11
931,2015-08-11,2015,8,11
1056,2015-08-12,2015,8,12
1235,2015-08-12,2015,8,12
417,2015-08-12,2015,8,12
794,2015-08-13,2015,8,13
816,2015-08-20,2015,8,20
1269,2015-08-21,2015,8,21
1067,2015-08-22,2015,8,22
1157,2015-08-22,2015,8,22
177,2015-04-10,2015,4,10
797,2015-04-24,2015,4,24
49,2015-04-24,2015,4,24
376,2015-05-05,2015,5,5
228,2015-05-07,2015,5,7
173,2015-05-07,2015,5,7
422,2015-05-08,2015,5,8
236,2015-05-10,2015,5,10
1182,2015-05-11,2015,5,11
287,2015-05-11,2015,5,11
648,2015-05-11,2015,5,11
519,2015-05-11,2015,5,11
566,2015-05-12,2015,5,12
852,2015-05-12,2015,5,12
491,2015-05-12,2015,5,12
445,2015-05-13,2015,5,13
644,2015-05-13,2015,5,13
68,2015-05-13,2015,5,13
489,2015-06-01,2015,6,1
1206,2015-06-03,2015,6,3
414,2015-06-07,2015,6,7
226,2015-06-08,2015,6,8
2,2015-06-08,2015,6,8
1274,2015-07-08,2015,7,8
218,2015-07-08,2015,7,8
324,2015-07-09,2015,7,9
1000,2015-07-11,2015,7,11
973,2015-07-13,2015,7,13
806,2015-07-15,2015,7,15
832,2015-07-16,2015,7,16
689,2015-07-17,2015,7,17
1278,2015-07-17,2015,7,17
438,2015-07-17,2015,7,17
992,2015-07-17,2015,7,17
575,2015-07-17,2015,7,17
1298,2015-08-11,2015,8,11
751,2015-08-11,2015,8,11
1176,2015-08-12,2015,8,12
1110,2015-08-13,2015,8,13
874,2015-08-22,2015,8,22
686,2015-08-23,2015,8,23
