,store_number,zipcode,County,2015_margin_avg_$,2015_price_avg_$pL,2015_volume_total_L,2015_volume_avg_L,2015_sales_total_$,2015_sales_avg_$,city,County number,2015Q1_sales_total_$,2015Q1_volume_total_L,2016Q1_sales_total_$,2016Q1_volume_total_L,First Date,Last Date
918,4787,52338,Johnson,32.36860000000001,16.777428571428572,353.25,7.065,4842.670000000001,96.85340000000002,SWISHER,52,1698.42,122.25,2384.58,186.0,2015-01-07,2016-03-30
919,4788,52405,Linn,45.07821428571428,14.17551020408163,303.75,10.848214285714286,3784.859999999999,135.1735714285714,CEDAR RAPIDS,57,716.04,72.0,4505.28,303.0,2015-02-12,2016-03-31
920,4789,50044,Marion,40.668000000000006,10.305746031746033,207.0,13.8,1826.94,121.796,BUSSEY,63,549.36,44.4,2478.6,129.0,2015-01-08,2016-01-14
921,4790,52405,Des Moines,16.48,20.68466610073571,98.94999999999999,3.1919354838709673,1528.3300000000002,49.30096774193549,MEDIAPOLIS,29,186.18,11.85,1084.6200000000001,84.0,2015-01-06,2016-03-29
922,4791,51106,Woodbury,55.605000000000004,18.327857142857145,147.0,9.1875,2668.26,166.76625,SIOUX CITY,97,954.9000000000001,55.5,3073.2799999999993,219.40000000000003,2015-01-13,2016-03-15
923,4792,50069,Dallas,43.14857142857142,13.501156462585035,152.1,10.864285714285714,1806.1200000000001,129.00857142857143,DE SOTO,25,94.2,9.0,2770.5700000000006,168.75,2015-01-21,2016-03-01
924,4794,52601,Des Moines,22.51842696629213,20.332605069772253,2399.5200000000004,3.8515569823435,42047.61,67.49215088282504,BURLINGTON,29,12055.439999999999,692.9999999999999,3396.599999999999,321.0,2015-01-07,2016-02-09
925,4795,50317,Polk,63.65898305084745,15.093204196933009,850.5,14.415254237288135,11174.28,189.39457627118645,DES MOINES,77,2272.8599999999997,151.5,2296.62,169.49999999999997,2015-01-07,2016-03-29
926,4796,50321,Polk,53.40705882352942,15.9872268907563,178.5,10.5,2723.2200000000003,160.1894117647059,DES MOINES,77,184.8,28.5,1878.47,117.51999999999998,2015-01-08,2016-03-24
927,4797,50316,Polk,56.90307692307693,15.501391941391939,474.0,12.153846153846153,6645.9000000000015,170.40769230769234,DES MOINES,77,2206.32,124.5,1694.9299999999998,106.0,2015-02-16,2016-03-14
928,4798,50320,Polk,65.91818181818181,17.90103896103896,259.5,11.795454545454545,4334.5199999999995,197.02363636363634,DES MOINES,77,708.7199999999999,28.5,193.14,11.25,2015-01-16,2016-03-28
929,4799,50317,Polk,35.05799999999999,13.680609523809524,207.75,8.31,2620.3499999999995,104.81399999999998,DES MOINES,77,1232.8200000000002,85.5,2488.9500000000003,186.75,2015-05-05,2016-02-23
930,4800,50320,Polk,45.528,13.964647619047618,299.25,11.97,3408.7799999999993,136.35119999999998,DES MOINES,77,831.0,62.25,4114.21,277.6400000000001,2015-01-21,2016-03-09
931,4801,50311,Polk,43.29051948051947,14.351447124304263,802.5,10.422077922077921,9994.05,129.79285714285714,DES MOINES,77,2671.8,207.0,2129.0899999999997,163.87,2015-01-05,2016-03-28
932,4802,50310,Polk,53.58630630630631,16.22531102531103,1294.5,11.662162162162161,17806.980000000003,160.42324324324326,DES MOINES,77,3625.7399999999993,243.0,915.08,72.6,2015-01-05,2016-03-21
933,4803,50313,Polk,54.441126760563385,16.490570087189802,762.0,10.732394366197184,11577.419999999998,163.06225352112673,DES MOINES,77,3059.82,163.5,849.2099999999999,75.52,2015-01-28,2016-03-09
934,4804,50312,Polk,51.69562499999999,14.939345238095232,787.5,12.3046875,9908.819999999996,154.82531249999994,DES MOINES,77,1724.2800000000004,136.5,2247.54,114.0,2015-01-12,2016-03-21
